#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 321230:7053 | 08/14/18 03:33:41 | 81   | 81   | 0.032086407    | 0.022670378   |
| 321231:7053 | 08/14/18 04:09:24 | 58   | 58   | 0.024271382    | 0.014523657   |
| 321232:7053 | 08/14/18 04:36:11 | 24   | 24   | 0.009687275    | 0.006057920   |
| 321233:7053 | 08/14/18 04:47:55 | 727  | 727  | 0.238948586    | 0.231852526   |
| 321262:7054 | 08/14/18 12:50:07 | 4    | 4    | 0.001737787    | 0.001669120   |
| 321283:7055 | 08/14/18 15:05:56 | 309  | 309  | 0.124576282    | 0.119780879   |
| 321294:7055 | 08/14/18 17:35:51 | 62   | 62   | 0.022067521    | 0.020610486   |
| 321295:7055 | 08/14/18 18:01:35 | 734  | 734  | 0.208661372    | 0.201490287   |
| 321296:7055 | 08/14/18 22:55:44 | 56   | 56   | 0.012397914    | 0.011876596   |
| 321305:7056 | 08/15/18 02:02:21 | 2625 | 2625 | 0.621840421    | 0.601904525   |
| 321311:7056 | 08/15/18 20:48:28 | 10   | 10   | 0.000941655    | 0.000473243   |
| 321312:7056 | 08/15/18 20:55:17 | 761  | 761  | 0.061529666    | 0.060265688   |
| 321313:7056 | 08/16/18 01:55:17 | 408  | 408  | 0.026959409    | 0.026586081   |
| 321393:7058 | 08/17/18 05:32:36 | 138  | 138  | 0.051870893    | 0.049689179   |
| 321396:7058 | 08/17/18 06:29:54 | 1361 | 1361 | 0.354828071    | 0.342721792   |
| 321397:7058 | 08/17/18 16:06:23 | 364  | 364  | 0.053526703    | 0.052117172   |
| 321414:7061 | 08/17/18 21:14:10 | 1229 | 1229 | 0.391547767    | 0.377386575   |
| 321415:7061 | 08/18/18 05:21:19 | 800  | 800  | 0.145354225    | 0.141348513   |
| 321431:7063 | 08/18/18 13:51:46 | 151  | 151  | 0.058347375    | 0.055907925   |
| 321432:7063 | 08/18/18 14:54:29 | 46   | 46   | 0.017797099    | 0.016577963   |
| 321433:7063 | 08/18/18 15:15:09 | 124  | 124  | 0.045245014    | 0.042731538   |
| 321434:7063 | 08/18/18 16:07:00 | 620  | 620  | 0.181972858    | 0.176536147   |
| 321436:7063 | 08/18/18 20:20:52 | 710  | 710  | 0.142079561    | 0.138441929   |
| 321457:7065 | 08/19/18 07:38:11 | 1843 | 1843 | 0.501549811    | 0.482761896   |
| 321461:7065 | 08/19/18 19:38:10 | 149  | 149  | 0.021566306    | 0.021013094   |
| 321475:7069 | 08/20/18 01:30:43 | 1903 | 1903 | 0.468939806    | 0.452777612   |
| 321710:7078 | 08/23/18 13:20:08 | 52   | 52   | 0.018046259    | 0.017235399   |
| 321712:7078 | 08/23/18 13:42:14 | 244  | 244  | 0.086871842    | 0.083397568   |
| 321730:7080 | 08/23/18 21:10:55 | 280  | 280  | 0.110154861    | 0.102670834   |
| 321732:7080 | 08/23/18 23:11:27 | 1405 | 1405 | 0.357658492    | 0.344691904   |
| 321735:7080 | 08/24/18 08:33:27 | 146  | 146  | 0.024345227    | 0.023661290   |
| 321755:7083 | 08/24/18 13:48:50 | 683  | 683  | 0.220665175    | 0.213437556   |
| 321758:7083 | 08/24/18 18:21:07 | 152  | 152  | 0.038637372    | 0.037517590   |
| 321760:7083 | 08/24/18 19:44:52 | 805  | 805  | 0.150632665    | 0.146153421   |
