#Data tag : 22v1 , Norm tag: composite
+-------------+-------------------+------+----------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath              | delivered(/fb) | recorded(/fb) |
| 283359:5421 | 10/17/16 07:15:19 | 428  | HLT_Dimuon20_Jpsi_v6 | 0.062846963    | 0.061358758   |
| 283407:5423 | 10/17/16 21:54:07 | 33   | HLT_Dimuon20_Jpsi_v6 | 0.011067050    | 0.009938879   |
| 283408:5423 | 10/17/16 22:10:43 | 2344 | HLT_Dimuon20_Jpsi_v6 | 0.478118052    | 0.461816465   |
| 283416:5423 | 10/18/16 15:16:09 | 195  | HLT_Dimuon20_Jpsi_v6 | 0.022427962    | 0.021812482   |
| 283453:5424 | 10/18/16 19:07:49 | 455  | HLT_Dimuon20_Jpsi_v6 | 0.130170528    | 0.124741121   |
| 283469:5426 | 10/19/16 01:09:36 | 1    | HLT_Dimuon20_Jpsi_v6 | 0.000336328    | 0.000031461   |
| 283478:5427 | 10/19/16 04:13:19 | 874  | HLT_Dimuon20_Jpsi_v6 | 0.220830595    | 0.212593955   |
| 283548:5433 | 10/19/16 22:58:39 | 144  | HLT_Dimuon20_Jpsi_v6 | 0.027488272    | 0.026583803   |
| 283680:5437 | 10/21/16 03:17:51 | 81   | HLT_Dimuon20_Jpsi_v6 | 0.019920221    | 0.019145317   |
| 283681:5437 | 10/21/16 03:56:07 | 17   | HLT_Dimuon20_Jpsi_v6 | 0.004058256    | 0.003854773   |
| 283682:5437 | 10/21/16 04:08:38 | 384  | HLT_Dimuon20_Jpsi_v6 | 0.083417115    | 0.080903225   |
| 283685:5437 | 10/21/16 06:39:38 | 314  | HLT_Dimuon20_Jpsi_v6 | 0.021584449    | 0.020476214   |
| 283820:5439 | 10/21/16 20:48:18 | 1482 | HLT_Dimuon20_Jpsi_v6 | 0.270406684    | 0.261598727   |
| 283830:5439 | 10/22/16 06:27:24 | 722  | HLT_Dimuon20_Jpsi_v6 | 0.106078202    | 0.103188837   |
| 283834:5439 | 10/22/16 11:11:28 | 81   | HLT_Dimuon20_Jpsi_v6 | 0.010346853    | 0.009088268   |
| 283835:5439 | 10/22/16 11:45:28 | 111  | HLT_Dimuon20_Jpsi_v6 | 0.013091961    | 0.011410360   |
| 283865:5441 | 10/22/16 17:30:09 | 1177 | HLT_Dimuon20_Jpsi_v6 | 0.276459279    | 0.267265935   |
| 283876:5442 | 10/23/16 03:38:50 | 657  | HLT_Dimuon20_Jpsi_v6 | 0.172033007    | 0.165629295   |
| 283877:5442 | 10/23/16 07:59:53 | 1496 | HLT_Dimuon20_Jpsi_v6 | 0.256054873    | 0.248062170   |
| 283884:5443 | 10/23/16 23:44:05 | 404  | HLT_Dimuon20_Jpsi_v6 | 0.107890070    | 0.103096196   |
| 283885:5443 | 10/24/16 02:25:30 | 1723 | HLT_Dimuon20_Jpsi_v6 | 0.301835544    | 0.293297335   |
| 283933:5446 | 10/24/16 18:32:31 | 145  | HLT_Dimuon20_Jpsi_v6 | 0.042764658    | 0.040818540   |
| 283934:5446 | 10/24/16 19:33:15 | 1258 | HLT_Dimuon20_Jpsi_v6 | 0.282758143    | 0.272353913   |
| 283946:5448 | 10/25/16 07:30:41 | 1377 | HLT_Dimuon20_Jpsi_v6 | 0.315159306    | 0.303446667   |
| 283964:5448 | 10/25/16 16:29:30 | 388  | HLT_Dimuon20_Jpsi_v6 | 0.061117188    | 0.059246802   |
| 284006:5450 | 10/26/16 01:53:26 | 318  | HLT_Dimuon20_Jpsi_v6 | 0.060326544    | 0.058267372   |
| 284014:5450 | 10/26/16 03:59:16 | 266  | HLT_Dimuon20_Jpsi_v6 | 0.049611443    | 0.048298876   |
| 284025:5451 | 10/26/16 08:56:43 | 48   | HLT_Dimuon20_Jpsi_v6 | 0.012766974    | 0.012336625   |
| 284029:5451 | 10/26/16 09:19:00 | 112  | HLT_Dimuon20_Jpsi_v6 | 0.032150210    | 0.030294679   |
| 284035:5451 | 10/26/16 10:04:52 | 360  | HLT_Dimuon20_Jpsi_v6 | 0.091615674    | 0.088596369   |
| 284036:5451 | 10/26/16 12:28:09 | 346  | HLT_Dimuon20_Jpsi_v6 | 0.075575786    | 0.072473292   |
| 284037:5451 | 10/26/16 14:48:03 | 340  | HLT_Dimuon20_Jpsi_v6 | 0.065004093    | 0.063010360   |
| 284038:5451 | 10/26/16 17:02:16 | 55   | HLT_Dimuon20_Jpsi_v6 | 0.009800281    | 0.009192519   |
| 284039:5451 | 10/26/16 17:27:02 | 30   | HLT_Dimuon20_Jpsi_v6 | 0.005248224    | 0.004843458   |
